"CODESTAB","CODMUNNASC","n_nascimentos","ANONASC","n_anomalias"
"2755165",170210,5321,2010,48
"2755173",172090,333,2010,6
"2755246",172100,79,2010,0
"2757214",150330,632,2010,2
"2765632",170190,61,2010,0
"2765640",170930,652,2010,1
"2765659",171320,719,2010,1
"2765667",170550,615,2010,1
"2765675",170370,2,2010,0
"2771985",150520,369,2010,1
"2772329",150400,380,2010,3
"2784637",110004,281,2010,2
"2786095",170700,532,2010,4
"2786109",170950,1677,2010,0
"2786117",172100,1,2010,0
"2792451",170240,216,2010,0
"2792478",172100,1054,2010,8
"2793903",150430,137,2010,0
"2798484",110030,1531,2010,0
"2802996",110011,24,2010,0
"2804638",150320,282,2010,0
"2806584",110009,1,2010,0
"2806681",110037,2,2010,0
"2806711",110092,1,2010,0
"2806738",110145,1,2010,0
"2806746",110011,2,2010,0
"2806886",110020,1,2010,0
"2806908",110020,1,2010,0
"2807076",110045,421,2010,2
"2807084",110060,2,2010,0
"2808501",110034,187,2010,0
"2808528",110003,108,2010,0
"2808544",110006,151,2010,0
"2808552",110007,2,2010,0
"2808560",110008,247,2010,0
"2808579",110094,20,2010,0
"2808587",110009,59,2010,0
"2808595",110100,10,2010,0
"2808609",110011,743,2010,1
"2808617",110013,426,2010,1
"2808625",110130,132,2010,0
"2808633",110014,294,2010,3
"2808668",110032,170,2010,1
"2808676",110040,11,2010,0
"2817764",140047,4,2010,0
"2819864",150747,8,2010,0
"3003469",150295,337,2010,0
"3004104",130260,4224,2010,22
"3009963",150370,39,2010,0
"3049434",110009,161,2010,0
"3049450",110009,77,2010,0
"3106225",150140,217,2010,1
"3112306",150400,9,2010,0
"3112349",150400,1,2010,0
"3112845",130340,5,2010,0
"3142701",170950,88,2010,0
"3151794",130260,8836,2010,86
"3152928",110012,221,2010,0
"3156516",110130,49,2010,0
"3157725",150130,112,2010,0
"3180867",130410,7,2010,0
"3185591",150613,233,2010,0
"3210243",130340,1150,2010,10
"3220966",130370,396,2010,4
"3221172",140010,1,2010,0
"3331342",170950,85,2010,0
"3332217",170950,161,2010,0
"3385205",170070,4,2010,0
"3503259",110012,46,2010,0
"3523462",130190,10,2010,0
"3526569",150140,775,2010,3
"3537234",150553,258,2010,0
"3581659",130420,1,2010,0
"3607372",150810,238,2010,0
"3641910",110012,39,2010,0
"3651665",110004,56,2010,0
"3654796",150565,74,2010,0
"3668770",171820,1519,2010,9
"3738698",150145,25,2010,0
"3792595",110011,236,2010,0
"3816680",130310,1,2010,0
"3838307",130260,187,2010,3
"3937127",130260,143,2010,0
"4001303",110020,2919,2010,68
"4001958",110033,297,2010,2
"4002768",110110,20,2010,0
"4003039",110140,118,2010,1
"4003357",110160,1,2010,0
"4004701",130380,3,2010,0
"4004728",130380,6,2010,0
"4004779",130380,2,2010,0
"4004787",130380,467,2010,3
"4004876",140005,4,2010,0
"4005406",150010,2,2010,0
"4005422",150010,1,2010,0
"4005732",150120,473,2010,0
"4005759",150140,343,2010,6
"4006429",150830,483,2010,1
"5004764",171750,10,2010,0
"5022339",150060,67,2010,0
"5084415",110020,7,2010,0
"5101344",140010,286,2010,2
"5294568",150680,41,2010,1
"5332419",150140,940,2010,0
"5332427",150140,2328,2010,3
"5346630",150140,69,2010,0
"5353947",120032,61,2010,1
"5390672",150420,25,2010,0
"5438888",150140,5,2010,0
"5448158",150140,401,2010,4
"5467675",150430,1,2010,0
"5572924",150095,292,2010,1
"5585422",150680,23,2010,3
"5586488",130260,128,2010,0
"5597501",150060,75,2010,0
"5599504",150420,4,2010,0
"5618347",110020,108,2010,0
"5654335",150140,508,2010,2
"5701813",150350,3,2010,0
"5701929",120001,40,2010,0
"5703425",150420,5067,2010,35
"5858208",120043,9,2010,0
"5874645",150215,113,2010,0
"5886201",150503,108,2010,1
"5915104",110045,242,2010,1
"5919541",150345,17,2010,0
"5926653",150680,1,2010,0
"5968496",150495,348,2010,0
"6059627",110045,84,2010,0
"6106005",150670,77,2010,1
"6179703",110012,3,2010,0
"6179746",110012,1,2010,0
"6185177",140010,315,2010,2
"6205224",110020,331,2010,1
"6250564",150080,855,2010,4
"6254160",150730,105,2010,0
"6260896",170390,1,2010,0
"6309402",150506,1,2010,0
"6311040",150506,538,2010,1
"6311059",150506,65,2010,0
"6312314",150530,116,2010,0
"6351964",171886,1,2010,0
"6355447",150497,15,2010,0
"6365302",150680,25,2010,0
"6390463",172100,139,2010,0
"6440630",150680,161,2010,1
"6444261",150360,2,2010,0
"6446132",150730,64,2010,1
"6510523",130420,32,2010,0
"6522734",150140,2,2010,0
"6559476",150450,3,2010,0
"6569234",150480,1,2010,0
"6585973",150530,22,2010,0
"6602487",110030,9,2010,0
"6627595",130260,3219,2010,39
"6710158",150180,11,2010,0
"8001448",150680,979,2010,4
"0000146",150380,8,2011,0
"0000156",150140,356,2011,8
"0000198",150140,55,2011,1
"0000265",110020,4304,2011,17
"0000315",150140,53,2011,0
"0000339",170220,93,2011,0
"0000340",150060,1,2011,0
"0000356",150613,286,2011,5
"0000486",130260,120,2011,4
"0007641",150240,2854,2011,2
"0007684",150240,2990,2011,11
"2000024",120042,70,2011,0
"2000083",120033,196,2011,0
"2000121",120060,1078,2011,1
"2000296",120020,2682,2011,6
"2000393",120070,159,2011,1
"2000636",120030,625,2011,1
"2000725",120045,50,2011,0
"2000733",120040,4585,2011,3
"2000822",120038,12,2011,0
"2000865",120050,995,2011,1
"2000962",120034,1,2011,0
"2000970",120034,105,2011,0
"2000997",120038,52,2011,0
"2001020",120005,132,2011,1
"2001500",120010,737,2011,2
"2001594",120035,182,2011,2
"2001748",120039,117,2011,1
"2002078",120040,4838,2011,5
"2002876",120013,1,2011,0
"2002906",120017,1,2011,0
"2003066",120005,2,2011,0
"2011859",130395,169,2011,0
"2011875",130230,304,2011,0
"2011891",130255,81,2011,1
"2011905",130310,560,2011,0
"2012022",130050,383,2011,2
"2012383",130080,470,2011,5
"2012480",130260,2984,2011,30
"2012499",130070,550,2011,1
"2012553",130410,354,2011,1
"2012618",130240,663,2011,0
"2012804",130423,262,2011,0
"2012839",130185,605,2011,2
"2013029",130260,1933,2011,10
"2013045",130030,642,2011,10
"2013258",130250,1909,2011,6
"2013282",130014,228,2011,1
"2013320",130353,372,2011,0
"2013495",130210,62,2011,1
"2013509",130260,52,2011,1
"2013568",130195,119,2011,0
"2013614",130180,242,2011,0
"2013673",130185,1,2011,0
"2014688",130270,582,2011,1
"2015242",130040,236,2011,2
"2016125",130406,1254,2011,12
"2016141",130420,1599,2011,11
"2016249",130400,108,2011,0
"2016354",130068,175,2011,0
"2016397",130140,710,2011,9
"2016419",130090,170,2011,2
"2016443",130426,300,2011,2
"2016478",130360,173,2011,0
"2016540",130300,230,2011,1
"2016567",130440,188,2011,0
"2016605",130063,320,2011,0
"2016648",130006,118,2011,2
"2016656",130083,60,2011,1
"2016672",130020,190,2011,2
"2016893",130340,1312,2011,6
"2016923",130190,1742,2011,1
"2016974",130060,605,2011,1
"2017016",130170,854,2011,4
"2017199",130260,640,2011,6
"2017245",130260,888,2011,12
"2017318",130260,3683,2011,31
"2017342",130190,11,2011,0
"2017369",130190,2,2011,0
"2017555",130100,490,2011,0
"2017571",130100,1,2011,0
"2017652",130110,116,2011,0
"2017660",130280,147,2011,2
"2017679",130008,186,2011,0
"2017717",130160,531,2011,8
"2017768",130002,294,2011,0
"2017792",130260,2339,2011,24
"2017911",130440,17,2011,0
"2017997",130165,83,2011,0
"2018012",130260,689,2011,13
"2018055",130260,817,2011,6
"2018098",130260,1204,2011,16
"2018128",130390,382,2011,3
"2018136",130120,1677,2011,3
"2018144",130290,1063,2011,9
"2018152",130260,96,2011,0
"2018365",130260,1625,2011,4
"2018381",130350,296,2011,1
"2019523",130130,384,2011,2
"2019558",130260,3643,2011,39
"2019566",130260,893,2011,13
"2019604",130330,318,2011,6
"2019663",160023,26,2011,1
"2019671",160070,100,2011,0
"2019701",160010,102,2011,0
"2019728",160020,145,2011,0
"2019736",160053,95,2011,0
"2019876",160030,4,2011,0
"2020068",160030,6615,2011,22
"2020076",160027,1131,2011,3
"2020106",160080,2,2011,0
"2020149",160080,14,2011,0
"2020165",160040,24,2011,0
"2020688",160080,9,2011,0
"2020726",160055,15,2011,0
"2020890",160030,3736,2011,6
"2021021",160021,19,2011,0
"2021064",160060,2583,2011,6
"2021099",160050,1,2011,0
"2021218",160015,33,2011,0
"2021293",160025,10,2011,0
"2021382",160005,31,2011,0
"2021390",160030,1,2011,0
"2021412",160015,3,2011,0
"2021455",160050,1,2011,0
"2021463",160050,336,2011,0
"2021765",160060,41,2011,0
"2021811",160030,501,2011,4
"2311763",150130,1517,2011,0
"2311801",150796,2,2011,0
"2311992",150290,145,2011,4
"2312026",150746,5,2011,0
"2312050",150380,625,2011,1
"2312069",150380,167,2011,1
"2312077",150618,30,2011,0
"2312085",150295,35,2011,0
"2312093",150618,113,2011,0
"2312107",150309,712,2011,6
"2312115",150380,164,2011,0
"2312123",150506,668,2011,4
"2312131",150618,378,2011,1
"2312158",150277,301,2011,4
"2312166",150175,79,2011,0
"2312174",150309,302,2011,0
"2312182",150549,115,2011,0
"2312298",150715,227,2011,1
"2312387",150750,45,2011,0
"2312506",150277,2,2011,0
"2312980",150280,5,2011,0
"2313014",150110,149,2011,1
"2313049",150070,570,2011,0
"2313057",150310,398,2011,0
"2313367",150210,560,2011,10
"2313669",150540,231,2011,1
"2313731",150800,1,2011,0
"2314002",150820,659,2011,0
"2314061",150795,460,2011,0
"2314312",150260,3,2011,0
"2314428",150220,57,2011,0
"2314436",150700,374,2011,2
"2314819",150620,396,2011,1
"2315459",150690,11,2011,0
"2316005",150490,481,2011,2
"2316013",150570,84,2011,0
"2316021",150770,461,2011,7
"2316048",150030,317,2011,1
"2316056",150790,2,2011,0
"2316064",150630,316,2011,0
"2316080",150250,33,2011,0
"2316099",150790,1,2011,0
"2316161",150640,40,2011,0
"2316234",150200,223,2011,0
"2316277",150770,1,2011,0
"2316366",150150,462,2011,1
"2316552",150790,450,2011,0
"2316641",150613,1,2011,0
"2316668",150613,140,2011,0
"2316757",150390,862,2011,7
"2316773",150390,8,2011,0
"2316846",150635,1,2011,0
"2316889",150293,20,2011,0
"2316919",150350,4,2011,0
"2316951",150350,5,2011,0
"2317028",150812,361,2011,6
"2317230",150307,6,2011,0
"2317249",150495,15,2011,0
"2317397",150330,688,2011,2
"2317532",150410,3,2011,0
"2317958",150720,131,2011,0
"2317990",150616,300,2011,1
"2318059",150276,57,2011,1
"2318172",150808,263,2011,0
"2318180",150808,649,2011,0
"2318326",150616,9,2011,0
"2318482",150010,1491,2011,4
"2318628",150550,1948,2011,5
"2318644",150550,190,2011,1
"2318660",150010,73,2011,0
"2318687",150010,185,2011,1
"2318695",150010,534,2011,0
"2318865",150543,522,2011,3
"2318911",150840,1,2011,0
"2319985",140045,1,2011,0
"2320045",140015,67,2011,0
"2320185",140070,34,2011,0
"2320398",140040,1,2011,0
"2320541",140040,117,2011,2
"2320665",140010,2,2011,0
"2320762",140028,1,2011,0
"2320789",140060,1,2011,0
"2320800",140060,19,2011,0
"2320835",140047,1,2011,0
"2320886",140030,11,2011,0
